"training_id","empleado_id","fecha_inicio","fecha_fin","mes_training","tipo_training","categoria_training","duracion_horas","modalidad","instructor","completado","calificacion_examen","rating_efectividad","costo_training","area_empleado","puesto_empleado","nivel_jerarquico_empleado"
5027,1000,"2024-04-02","2024-04-15","2024-04","Setup de Prensa - Avanzado","Seguridad",104,"Presencial","Sr(a). Mia Molina",True,"89.00",3,"43696.41","Estampado","Técnico Setup",1
5026,1000,"2024-09-05","2024-09-20","2024-09","Setup de Prensa - Básico","Seguridad",120,"Mixto","Thiago Augusto Ruiz Gomez",True,"64.00",3,"24880.11","Estampado","Técnico Setup",1
5025,1001,"2024-07-09","2024-07-15","2024-07","Capacitación General","Gestión",48,"Presencial","León Vargas",True,"83.00",4,"9616.08","Dirección","Plant Manager",5
5028,1002,"2024-04-15","2024-04-30","2024-04","Setup de Prensa - Básico","Gestión",120,"Mixto","Sr(a). Benjamin Alejandro Medina",True,"95.00",5,"24163.20","Estampado","Técnico Setup",1
5029,1003,"2025-01-11","2025-01-22","2025-01","Mantenimiento Preventivo","Seguridad",88,"Mixto","Simon Juana Ledesma",True,"92.00",5,"20258.79","Estampado","Operario de Prensa",1
5030,1004,"2024-05-21","2024-06-02","2024-06","Seguridad en Prensas","Técnico",96,"Presencial","Felicitas Fernandez",False,"68.00",4,"29946.72","Estampado","Técnico Setup",1
5031,1004,"2024-06-18","2024-06-24","2024-06","Seguridad en Prensas","Técnico",48,"Mixto","Emma Milagros Vera Caceres",True,"88.00",4,"15853.89","Estampado","Técnico Setup",1
5032,1004,"2024-12-21","2024-12-28","2024-12","Mantenimiento Preventivo","Seguridad",56,"Mixto","Tomàs Luna Nuñez",True,"63.00",2,"39376.02","Estampado","Técnico Setup",1
5033,1010,"2024-12-21","2024-12-25","2024-12","Setup de Prensa - Básico","Gestión",32,"Online","Dr(a). Juan Pablo Arias",True,"67.00",2,"21202.38","Estampado","Operario de Prensa",1
5034,1012,"2024-08-15","2024-08-30","2024-08","Seguridad en Prensas","Seguridad",120,"Presencial","Constanza Nina Luna Avila",True,"83.00",5,"29212.35","Estampado","Técnico Setup",1
5035,1012,"2025-01-20","2025-01-23","2025-01","Setup de Prensa - Básico","Técnico",24,"Presencial","Milo Dominguez Sosa",True,"60.00",3,"15743.73","Estampado","Técnico Setup",1
5037,1013,"2024-01-13","2024-01-19","2024-01","Setup de Prensa - Avanzado","Técnico",48,"Presencial","Nahiara Romero",True,"60.00",4,"40441.95","Estampado","Operario de Prensa",1
5036,1013,"2025-04-18","2025-05-03","2025-05","Seguridad en Prensas","Seguridad",120,"Mixto","Sr(a). Lucas Moreno",True,"77.00",5,"17826.15","Estampado","Operario de Prensa",1
5038,1015,"2024-04-09","2024-04-23","2024-04","Mantenimiento Preventivo","Técnico",112,"Online","Santino Gomez",True,"65.00",2,"32897.10","Estampado","Operario de Prensa",1
5039,1015,"2025-03-06","2025-03-20","2025-03","Setup de Prensa - Avanzado","Seguridad",112,"Presencial","Bianca Maximo Silva",True,"100.00",2,"10411.74","Estampado","Operario de Prensa",1
5040,1019,"2024-01-21","2024-01-31","2024-01","Seguridad en Prensas","Gestión",80,"Mixto","Sr(a). Tomàs Ruiz",True,"100.00",3,"34187.01","Estampado","Técnico Setup",1
